"CAS","odor_goodscents"
"123-28-4","sweet ethereal"
"111-42-2","mild rotten fish ammonia"
"109-89-7","fishy ammoniacal"
"2197-63-9","bland"
"110-97-4","dead fish ammonia"
"109-87-5","chloroform"
"138-86-3","citrus herbal terpene camphor"
"41247-05-6","odorless"
"629-97-0","waxy"
"112-95-8","waxy"
"105-60-2","amine spicy"
"75-08-1","sulfurous fruity"
"60-29-7","ethereal"
"3943-89-3","phenolic"
"120-47-8","mild phenolic"
"5452-75-5","floral"
"542-85-8","pungent mustard garlic"
"97-63-2","acrylate"
"75-04-7","ammonia fishy"
"111-55-7","green floral estery alcoholic"
"6381-92-6","odorless"
"1343-88-0","odorless"
"17465-86-0","odorless"
"1003-10-7","burnt garlic"
"110-94-1","odorless"
"79-14-1","odorless very mild buttery"
"107-22-2","mild sour"
"7440-59-7","odorless"
"629-94-7","waxy"
"142-82-5","sweet ethereal"
"1639-09-4","sulfurous onion"
"111-26-2","ammoniacal musty fishy"
"9004-64-2","odorless"
"1317-61-9","odorless"
"108-22-5","ethereal acetic fruity sweet berry grape skin"
"75-31-0","fishy ammoniacal"
"89-49-6","minty leafy"
"1332-58-7","odorless"
"12428-46-5","odorless"
"138-15-8","odorless"
"137-66-6","citrus"
"5743-28-2","odorless"
"134-03-2","odorless"
"5794-13-8","odorless"
"305-84-0","odorless"
"59-92-7","odorless"
"6106-04-3","odorless"
"73-32-5","odorless"
"3184-13-2","mild green bark"
"72-19-5","mild savory"
"8006-54-0","mild fatty waxy"
"1166-52-5","odorless"
"7782-75-4","odorless"
"7487-88-9","odorless"
"9050-36-6","odorless"
"149-32-6","odorless"
"108-38-3","plastic"
"78-85-3","wild hyacinth foliage"
"53562-86-0","fruity"
"89-71-4","floral ylang orangeflower grape"
"99-75-2","sweet anisic floral ylang"
"67-56-1","alcoholic"
"14352-61-5","fruity tropical banana mango pineapple honey"
"115-10-6","ethereal"
"556-61-6","pungent mustard horseradish"
"80-62-6","acrylic aromatic fruity"
"2949-92-0","sulfurous pungent roasted"
"112-62-9","mild fatty"
"67-71-0","sulfurous burnt"
"556-64-9","sulfury onion"
"78-94-4","sweet"
"91-20-3","pungent dry tarry"
"10024-97-2","odorless"
"111-84-2","gasoline"
"95-47-6","geranium"
"143-28-2","fatty animal"
"144-62-7","bland mild caramellic"
"629-62-9","waxy"
"1002-84-2","waxy"
"8032-32-4","petroleum"
"156-06-9","sweet acidic honey almond weedy phenolic green"
"114-76-1","honey"
"60-82-2","odorless"
"87-41-2","sweet tonka coumarin powdery coconut phenolic lactonic"
"110-85-0","ammoniacal"
"9002-84-0","odorless"
"9002-89-5","odorless"
"68441-17-8","odorless"
"7778-77-0","odorless"
"10117-38-1","odorless"
"107-19-7","geranium"
"75-56-9","ethereal sweet"
"1003-29-8","musty beefy coffee"
"8050-09-7","mild balsamic woody"
"81-07-2","odorless"
"112945-52-5","odorless"
"7631-86-9","odorless"
"7558-80-7","odorless"
"7601-54-9","odorless"
"1303-96-4","odorless"
"111-02-4","floral"
"5329-14-6","bland fatty"
"7704-34-9","sulfurous"
"14807-96-6","odorless"
"629-59-4","mild waxy"
"142-68-7","pungent sweet ethereal"
"110-01-0","cabbage"
"110-02-1","alliaceous garlic"
"108-88-3","sweet"
"4128-17-0","oily waxy"
"106-28-5","mild muguet floral sweet lily waxy"
"638-67-5","waxy"
"638-53-9","waxy woody"
"78-40-0","mild cider"
"1184-78-7","odorless"
"102-69-2","fishy ammoniacal"
"1009-14-9","balsam valerian"
"1314-62-1","odorless"
"84-80-0","odorless"
"87-99-0","odorless"
"62-33-9","odorless"
"8061-52-7","odorless"
"67762-27-0","mild waxy"
"85586-67-0","balsam herbal fir needle spicy earthy woody"
"35274-05-6","faint fatty buttery"
"3539-43-3","bland"
"68140-00-1","bland"
"7651-02-7","bland"
"6938-94-9","mild estery fatty sour"
"13192-12-6","bland"
"111-60-4","mild waxy"
"259854-70-1","musk animal powdery fatty laundered cloth ambergris anisic woody"
"27214-38-6","bland"
"589-68-4","bland"
"27177-85-1","bland"
"65497-29-2","odorless"
"68442-94-4","odorless"
"39421-75-5","odorless"
"646-13-9","mild fatty"
"30399-84-9","bland"
"2724-58-5","bland"
"41669-30-1","bland"
"68238-35-7","bland"
"8027-33-6","bland"
"79-63-0","bland"
"5274-68-0","mild alcoholic"
"6283-92-7","faint fatty buttery"
"1327-43-1","odorless"
"7757-87-1","odorless"
"12001-26-2","odorless"
"97-78-9","bland"
"32736-91-7","toasted hazelnut meaty"
"18138-05-1","nutty meaty vegetable"
"110-25-8","bland"
"59070-56-3","bland"
"8051-73-8","mild waxy"
"63231-60-7","odorless"
"38917-63-4","roasted nutty"
"38917-62-3","roasted nutty"
"9005-36-1","odorless"
"68171-38-0","mild waxy"
"63799-53-1","mild waxy"
"13925-03-6","roasted potato"
"68-04-2","odorless"
"61791-59-1","bland"
"6381-77-7","odorless"
"7704-73-6","odorless"
"137-16-6","bland"
"61791-42-2","bland"
"15120-21-5","odorless"
"11138-47-9","odorless"
"7632-04-4","odorless"
"1344-00-9","odorless"
"868-18-8","odorless"
"55819-53-9","bland"
"122-19-0","bland"
"27195-16-0","bland"
"25168-73-4","bland"
"500-02-7","spice cumin caraway woody herbal"
"53398-87-1","green grassy fruity tropical pear kiwi berry artichoke"
"127-82-2","odorless"
"84605-08-3","bland"
"7384-98-7","fatty fruity"
"9005-08-7","mild waxy"
"19040-44-9","bland"
"61789-40-0","bland"
"77189-02-7","tropical fruity floral musk"
"68139-30-0","bland"
"68155-09-9","bland"
"68411-97-2","bland"
"68439-50-9","bland"
"68990-53-4","mild fatty waxy"
"106-11-6","bland"
"39464-69-2","bland"
"61790-81-6","bland"
"84650-19-1","bland"
"66085-00-5","mild waxy"
"3055-99-0","bland"
"300371-33-9","aldehydic,muguet,green,fresh,clean,cloth laundered cloth"
"71902-01-7","bland"
"81646-13-1","bland"
"241148-21-0","bland"
"502-69-2","oily herbal jasmin celery woody"
"1490-04-6","cooling mentholic minty"
"616-16-0","fermented fatty"
"7757-86-0","odorless"
"8000-41-7","fresh clean woody pine floral lime"
"55589-62-3","odorless"
"67701-33-1","mild ethereal alcoholic herbal"
"84625-38-7","bland"
"97593-29-8","odorless"
"92044-96-7","bland"
"92044-99-0","bland"
"104-09-6","fresh sweet green cortex lilac narcissus nutty phenolic fruity cherry, sweet, green, fruity, with nutty, phenolic and fruity nuances"
"106-26-3","sweet citral lemon peel"
"409-02-9","nutty hazelnut"
"52475-86-2","aldehydic clean herbal ozone"
"540-97-6","odorless"
"96-08-2","mentholic"
"10544-63-5","pungent fruity acrid ester, pungent, sharp, rum- and cognac-iike, wth tinny, pineapple, fruity and meaty nuances"
"115-71-9","woody sandalwood"
"127-91-3","dry woody resinous pine hay green eucalyptus camphoreous, cooling, woody, piney and turpentine-like with a fresh minty, eucalyptus and camphoraceous note with a spicy peppery and nutmeg nuance"
"26952-21-6","fatty orange rose"
"299-29-6","caramellic"
"51580-86-0","mild chlorine"
"52-89-1","odorless"
"5760-50-9","earthy fungal rose fatty floral"
"621-82-9","balsam sweet storax"
"626-38-0","herbal weedy musty green vegetable nut skin beany ketonic animal, orange juicy, impacting, musty green unripe fruity reminiscent of banana and vegetative nuances with a slight nutty note"
"6915-15-7","odorless"
"31478-84-9","bland"
"68171-33-5","bland"
"227456-28-2","sulfurous onion, sulfurous, , savory grilled or roasted beef and cooked chicken like, alliaceous, garlic with tropical fruit and cultured dairy nuances"
"28371-99-5","woody ambergris musk vetiver tobacco"
"866-84-2","odorless"
"9003-07-0","odorless"
"996-31-6","odorless"
"59231-37-7","bland"
"30364-51-3","bland"
"9005-07-6","bland"
"68201-46-7","bland"
"68441-68-9","bland"
"62125-22-8","bland"
"6485-34-3","odorless"
"68239-42-9","bland"
"9035-85-2","bland"
"25231-21-4","bland"
"9003-13-8","bland"
"68458-88-8","bland"
"74775-06-7","bland"
"111870-68-9","bland"
"63793-60-2","bland"
"14543-49-8","green fatty violet fruity"
"29383-26-4","bland"
"29710-25-6","bland"
"71566-49-9","odorless"
"81897-25-8","bland"
"18486-69-6","sweet cinnamon tonka spicy terpene camphor jam"
"106-19-4","mild alcoholic"
"14350-97-1","bland"
"68424-04-4","odorless"
"81752-33-2","mild waxy"
"73296-86-3","mild waxy"
"66082-42-6","mild waxy"
"85666-92-8","mild waxy"
"26161-33-1","bland"
"84861-79-0","bland"
"26942-95-0","bland"
"68541-50-4","bland"
"7360-38-5","bland"
"143361-03-9","fatty green diffuse"
"68953-64-0","bland"
"3234-85-3","bland"
"66455-14-9","bland"
"70024-92-9","gasoline"
"63012-97-5","beefy cheese coffee minty spicy, spicy, pungent alliaceous, sulfurous drying to a meaty brothy aroma with mustard and coffee nuances"
"31983-27-4","citral lemon aldehydic metallic"
"5585-39-7","sharp lemon metallic"
"65405-73-4","strong clean waxy aldehydic ozone rose"
"53243-59-7","citric citralva citral lemon"
"53243-60-0","citric citralva citral lemon"
"933-48-2","minty"
"10094-41-4","fresh green herbal apple warm sweet fruity pineapple, green, fruity, sweet, juicy and pear-like, with vegetative nuances"
"5258-11-7","flower"
"4221-98-1","terpene spicy medicinal"
"2243-33-6","dill"
"39647-11-5","jasmine"
"125811-37-2","floral mint"
"491-02-1","mentholic"
"74410-10-9","dill"
"203719-54-4","green citrus fruity"
"20053-88-7","sweet tropical ocimene fennel ginger myrcene"
"35931-93-2","citrus green fruity floral"
"319002-92-1","floral clary sage bois de rose bergamot natural"
"50373-36-9","geranium rose fruity, floral, rose , geraniol with herbal, green lavender and tea like nuances"
"42822-86-6","geranium rose fruity, floral, rose , geraniol with herbal, green lavender and tea like nuances"
"8007-35-0","sweet herbal bergamot pine lavender floral"
"104-46-1","sweet anise licorice medicinal"
"61789-42-2","cedarwood woody balsamic amber cedar resinous"
"61789-17-1","sweet woody guaiacwood"
"7149-34-0","floral"
"68555-28-2","herbal green floral"
"39900-18-0","fruity floral"
"20175-19-3","green leafy fruity"
"28467-92-7","spicy"
"1197-33-7","spicy"
"68705-63-5","fruity apple rose"
"73019-15-5","floral cognac"
"25435-63-6","muguet orange coconut lactonic jasmin"
"67674-41-3","earthy mushroom green"
"63450-30-6","nutty fresh roasted peanut nut skin green hazelnut"
"1963-36-6","spicy cinnamon sweet cherry vanilla floral, spicy, cinnamon, sweet with a rich pleasant cherry candy note, vanilla and slightly smoky"
"6975-24-2","spicy amber"
"16509-46-9","green"
"126-90-9","sweet floral petitgrain lavender"
"77-42-9","woody"
"55050-40-3","juicy aldehydic lemongrass floral lemon bois de rose"
"2396-85-2","fruity pear skin green cooked"
"68908-82-7","animal fecal indole"
"67801-36-9","animal fecal indole"
"68585-09-1","animal fecal"
"22457-25-6","citrus bergamot lime"
"10250-45-0","herbal rhubarb floral lilac banana"
"6807-11-0","floral jasmin gardenia fruity balsamic"
"14049-11-7","floral honey"
"60241-52-3","woody cedarwood ambergris sandalwood"
"22471-55-2","fruity floral rose amber"
"23267-57-4","fruity sweet berry woody violet orris powdery"
"6379-73-3","herbal spicy leafy citrus"
"94333-50-3","tropical floral fruity"
"67583-77-1","green fruity herbal"
"60416-24-2","ethereal floral fruity"
"1129-67-5","green metallic cinnamic"
"97158-38-8","green fruity fresh bilberry"
"185429-83-8","woody amber floral"
"23726-92-3","fruity floral blackcurrant tobacco"
"41610-76-8","fresh floral woody linalyl acetate"
"2555-49-9","green floral rose"
"40379-24-6","sweet herbal cumin woody"
"54300-09-3","popcorn roasted hazelnut caramellic"
"18433-97-1","hazelnut"
"67845-34-5","nutty roasted"
"1333-58-0","leather animal herbal green"
"68378-12-1","nutty"
"69898-48-2","caramel maple syrup"
"18479-49-7","woody citrus camphoreous"
"31565-19-2","sweet estery fruity"
"79915-74-5","sweet floral balsamic herbal cherry"
"13720-12-2","warm woody earthy ambergris tobacco amber violet"
"498-15-7","sweet"
"1135-66-6","woody dusty amber incense"
"118-65-0","woody spicy"
"7212-40-0","fresh minty"
"17627-44-0","balsamic spicy floral"
"139564-43-5","fruity"
"7786-44-9","green cucumber vegetable"
"76649-25-7","fresh green violet cucumber, green, melon, fatty, cucumber with oily mushroom and fishy nuances"
"211323-05-6","sweet waxy fresh green melon fruity pear"
"67845-50-5","woody pine lemon lime citronellol"
"5421-12-5","green floral herbal"
"66072-32-0","sandalwood clean sweet woody balsamic"
"66068-84-6","sandalwood clean sweet woody balsamic"
"67859-99-8","fruity"
"31147-36-1","clean floral balsamic"
"481-34-5","herb wood"
"19435-97-3","herbal honey"
"23986-74-5","woody spice"
"13474-59-4","woody warm tea"
"483-77-2","herb spice"
"547-61-5","warm woody balsamic fennel"
"7148-78-9","spicy cinnamon"
"142-50-7","mild floral"
"471-15-8","herbal warm"
"10208-80-7","woody"
"2371-42-8","earthy musty"
"34995-77-2","floral"
"5552-30-7","woody cedarwood raspberry orris root"
"4433-36-7","sweet floral balsam rose woody"
"1552-67-6","rum fruity green sweet juicy"
"4573-50-6","pungent minty peppermint"
"58605-97-3","fruity aldehydic waxy floral"
"544409-58-7","rubbery earthy plastic"
"59471-80-6","minty spearmint herbal"
"89-80-5","minty"
"80-25-1","fresh herbal woody lime cologne soapy"
"99-49-0","minty licorice"
"68398-18-5","sulfurous minty fresh grapefruit peel tropical fir needle seedy mango soupy papaya, sulfurous with grapefruit-like note. it has green vegetative and minty tropical nuances of passion fruit and papaya as well as peach and apricot"
"10458-14-7","minty"
"94293-57-9","black currant catty fruity herbal"
"22771-44-4","minty terpenic"
"57074-34-7","herbal"
"1329-99-3","minty"
"2111-75-3","fresh green herbal grassy sweet mint cumin spicy citrus, spicy, cumin, cinnamon, pungent, clove, citrus, orange and lime"
"3564-98-5","herbal eucalyptus minty"
"123-69-3","musty animal musk ambrette"
"91770-49-9","woody patchouli"
"72797-28-5","vanilla"
"494-08-6","very mild vanilla"
"122397-96-0","mild vanilla"
"2092-49-1","fruity vanilla"
"188417-26-7","sweet creamy vanilla chocolate milk, intense sweet, creamy, vanilla with vanilla ice cream and chocolate milky nuances. the dry out is slightly caramellic and rumy"
"13002-09-0","alcoholic fruity ethereal green fermented"
"72927-85-6","fruity"
"72894-07-6","fatty rose waxy"
"80449-58-7","warm woody amber musk"
"81397-67-3","odorless"
"7493-75-6","fruity pineapple"
"111-45-5","mild mushroom"
"71500-37-3","fruity pineapple spicy"
"6321-45-5","pineapple"
"12124-99-1","ammoniacal"
"7632-50-0","slight ammoniacal"
"7558-63-6","odorless"
"61531-45-1","apricot floral cognac"
"774-48-1","green bitter almond"
"2206-94-2","animal floral fecal phenolic"
"29759-11-3","sweet floral fruity herbal"
"2216-45-7","sweet floral fruity green privet hyacinth hawthorn cilantro herbal"
"6471-66-5","mild sweet elemi winey"
"2094-69-1","floral herbal chamomile"
"23089-26-1","fruity nutty coconut"
"94200-10-9","herbal woody"
"10484-56-7","sweet fruity floral berry strawberry raspberry"
"6553-81-7","green"
"628-29-5","sulfurous garlic onion vegetable"
"2463-63-0","green fatty"
"1487-49-6","mild fruity green apple winey"
"80748-58-9","sandalwood clean sweet woody"
"3792-53-8","herbal warm"
"503-93-5","minty"
"120811-92-9","floral green rose petal fruity"
"103-26-4","sweet balsam strawberry cherry cinnamon"
"4360-47-8","spicy cinnamon nitrile"
"6658-48-6","floral muguet lily green tropical oily greasy marine balsamic"
"496-78-6","phenolic chemical"
"118562-73-5","woody amber musk"
"43052-87-5","sweet floral metallic fruity apple spicy plum minty, sweet, fruity, floral woody with a green berry nuance"
"23726-94-5","floral rose apple fruity"
"689-67-8","fresh rose leaf floral green magnolia aldehydic fruity"
"68973-20-6","cucumber green tallow fatty fruity fried"
"502-26-1","waxy fatty"
"629-80-1","cardboard"
"638-66-4","oily"
"2765-11-9","fresh waxy"
"75853-49-5","cooked meat tallow fat meat broth sweat fruity waxy citrus, sweet, fatty, waxy, rich savory animal fatty with a citrus and cilantro like nuance"
"10448-26-7","fresh green"
"2463-77-6","fresh fruity orange peel"
"74962-99-5","mild waxy"
"75039-84-8","floral rose waxy fresh fruity"
"18409-18-2","waxy fresh air citrus rose rummy rue"
"7554-12-3","brown sugar sweet wine fruity herbal"
"2040-10-0","strong dry woody labdanum rose musk orangeflower"
"56973-87-6","green galbanum fruity pineapple herbal balsamic fir needle"
"180964-47-0","minty vanilla"
"21835-00-7","caramellic"
"74356-31-3","fruity"
"53834-70-1","tropical"
"67874-77-5","rose de mai"
"502-99-8","fruity floral wet cloth"
"68141-23-1","ethereal rose"
"67601-05-2","fresh fruity rose bergamot rose sweet"
"3779-61-1","sweet herbal"
"10522-32-4","honey rose honeysuckle"
"41678-36-8","woody herbal pine"
"1333-49-9","sweet rose leather musty plastic"
"29414-56-0","camphoreous lime"
"7779-07-9","dry grassy weedy waxy rose"
"20425-54-1","citrus lime dirty aldehydic"
"28977-58-4","camphoreous lime terpenic"
"61407-00-9","green mango tropical"
"4984-01-4","woody, piney, herbaceous"
"22460-95-3","rose"
"29957-43-5","mouldy"
"181258-87-7","fresh outdoors green bell pepper ozone marine"
"27043-05-6","burnt coffee nutty roasted woody"
"13360-65-1","potato cocoa roasted nutty"
"38205-61-7","nutty roasted meaty earthy"
"4175-66-0","roasted nutty"
"72845-33-1","floral"
"89079-92-5","black currant tropical fruity"
"26494-10-0","meaty bready"
"71605-84-0","balsam amber rose"
"68931-30-6","floral rose"
"55764-22-2","fruity floral tropical"
"774-64-1","spicy herbal minty"
"2407-43-4","spice"
"75640-26-5","lactonic coumarin sweet coconut"
"473-03-0","amber ambergris labdanum woody"
"35087-49-1","fruity floral rose green cooked apple plum thujonic tobacco"
"6812-78-8","floral red rose fruity metallic"
"72117-72-7","floral violet sweet powdery woody"
"16400-72-9","coconut lactonic creamy fatty"
"58096-46-1","woody spicy peppery camphoreous"
"4826-62-4","green citrus fruity mandarin orange herbal"
"515-13-9","sweet"
"5989-33-3","earthy floral sweet woody"
"67920-63-2","floral lilac"
"51685-39-3","floral lilac"
"71662-27-6","fruity buttery creamy sweet"
"7367-85-3","fresh green soapy"
"13894-61-6","sweet green honey fruity hyacinth cortex papaya guava pineapple tropical, sharp, sweet green, fresh, fruity apple and pear with a slight floral nuance"
"1617-40-9","fruity berry rummy"
"26553-46-8","sweet green fruity passion fruit guava pineapple papaya weedy honey"
"7367-82-0","fruity pear skin green waxy tropical plum skin fatty, fruity, pineapple, green with a fatty waxy nuance"
"64187-83-3","green pear apple tropical"
"7367-83-1","fruity pear mango fishy peach skin green"
"39924-27-1","green green apple fruity tropical grape skin papaya passion fruit pineapple"
"9004-59-5","odorless"
"41114-00-5","honey sweet"
"13184-86-6","alcoholic rum sweet chocolate creamy vanilla spicy nutmeg smoky"
"6379-72-2","mild spicy clove"
"6380-24-1","mild spicy clove"
"137255-07-3","earthy humus"
"6270-56-0","sweet spicy"
"15186-51-3","caramel green minty"
"1334-76-5","berry fruity winey"
"36707-28-5","honey"
"699-17-2","spicy caramel"
"3073-66-3","green sweet"
"10352-88-2","rancid"
"72928-52-0","woody pine oily"
"5910-85-0","green pungent fruity spicy"
"4313-02-4","fried"
"3080-69-1","geranium rose"
"5921-82-4","fenugreek fruity"
"28462-85-3","vegetable green mossy"
"547-60-4","spicy"
"473-62-1","camphoreous borneol spruce needle terpineol like"
"18358-53-7","cedar camphoreous"
"63458-78-6","strong buchu grapefruit green cassis"
"4351-10-4","green fatty"
"72854-42-3","earthy fungal green oily sweet"
"1708-35-6","earthy fungal mossy green sweet"
"50862-12-9","fruity apple"
"56423-43-9","fruity woody animal"
"3230-94-2","bland"
"2463-53-8","fatty green waxy cucumber melon, fatty, green, waxy and vegetative with cucumber-melon, cereal notes and a chicken fat nuance"
"2550-52-9","powdery musk animalic"
"73545-16-1","green fruity galbanum apple pear pineapple"
"80466-34-8","fatty sweet green aldehydic spicy"
"23726-93-4","apple rose honey tobacco sweet"
"29461-13-0","woody patchouli"
"81836-13-7","fresh green"
"81836-17-1","fresh green"
"54830-99-8","green woody cedar pine licorice"
"21284-22-0","spicy herbal green tea"
"24406-05-1","woody dry"
"22414-70-6","minty camphoreous"
"38433-74-8","butter green grassy privet"
"19269-28-4","sweet green"
"94291-50-6","herbal"
"2370-13-0","herbal pungent"
"818-49-5","sweaty"
"5953-49-1","apple fruity pear sour"
"69112-21-6","natural green fruity apple"
"55444-65-0","fruity apple"
"10032-11-8","sweet green apple"
"71048-82-3","fruity sweet rose natural petal cassis black currant"
"63429-28-7","floral"
"6901-97-9","floral"
"35044-68-9","fruity floral black currant plum rose honey tobacco"
"1775-43-5","green grass sweaty fruity cheesy acid"
"85508-08-3","fruity tropical sweet waxy spicy guaiacwood green cantaloupe rind"
"65652-33-7","green floral gardenia jasmin"
"6454-22-4","creamy dairy fruity green"
"67663-01-8","fruity lactonic green peach waxy floral oily tropical buttery"
"74094-61-4","green woody"
"20815-27-4","green floral geranium earthy"
"13494-08-1","sweet caramel"
"7367-90-0","winey fruity floral"
"73545-15-0","sweet fruity pineapple apple banana"
"5421-27-2","fatty fruity waxy"
"1196-31-2","minty"
"7786-67-6","minty cooling eucalyptus medicinal woody green grassy herbal, minty, cooling, medicinal, woody with a green herbaceous undernote"
"498-16-8","herbal"
"84642-56-8","strongly woody, cedarous"
"2311-59-3","green vegetable woody oily fruity"
"607-85-2","vine clover orchid"
"111753-62-9","sweet anise hawthorn green floral cortex mimosa absolute spicy powdery"
"6909-30-4","green"
"77341-67-4","odorless, little or no odor, a slight coolness"
"68366-65-4","sweet herbal clary sage rose"
"3391-87-5","mentholic minty"
"63187-91-7","odorless"
"38142-45-9","clean citrus minty"
"928-92-7","green herbal musty tomato metallic"
"6126-50-7","pungent green vegetable oily"
"544-12-7","green leafy"
"1708-82-3","green fruity banana apple"
"2305-21-7","fruity green leafy"
"10094-40-3","green fruity"
"7779-50-2","sweet soapy musk amber fruity berry, sweet, soapy, perfume-like with a heavy fruity undertone"
"7069-41-2","waxy citrus rind tangerine fatty creamy soapy watery cilantro"
"19162-00-6","fruity"
"22104-79-6","sweet fatty, melon cucumber vegetable"
"40596-76-7","citronellal like, lemon, grapefruit, floral, and citrus"
"22104-78-5","green vegetable"
"2371-13-3","melon pear tropical earthy"
"26330-64-3","floral aldehydic muguet lily of the valley"
"2363-89-5","fatty green herbal"
"638-59-5","fatty waxy"
"23727-16-4","spicy"
"60784-31-8","orris fatty waxy cucumber"
"5820-89-3","green"
"77171-55-2","honey"
"97752-28-8","green violet floral walnut"
"67019-89-0","green violet floral walnut"
"6750-03-4","fatty green cucumber"
"87310-12-1","orange rose fruity oily orange aldehydic"
"10138-32-6","fruity green watery honeydew"
"30361-28-5","green fatty reminiscent of pear melon peely"
"31308-55-1","camphoreous"
"64644-36-6","camphoreous"
"30772-69-1","sandalwood woody fruity floral amber"
"67879-58-7","odorless"
"10486-25-6","sandalwood fresh woody"
"10486-26-7","rooty woody cedar"
"19700-21-1","fresh musty earthy soil"
"6540-86-9","sulfurous cooked roasted"
"13744-15-5","citrus fruity radish"
"23433-05-8","musty"
"2051-50-5","fruity"
"22874-79-9","fruity with hay quality, winey with mushroom note, slightly harsh and chemical"
"2306-88-9","coconut oily fruity"
"71078-31-4","black currant"
"72258-83-4","urine, woody-lactone"
"4625-90-5","woody herbal celery lactone"
"79893-63-3","black currant"
"94201-19-1","lactonic coconut meadow tropical creamy coumarinic dairy plum"
"68228-06-8","herbal rosemary mint camphor thujone tropical"
"57094-40-3","herbal rosemary mint camphor thujone tropical"
"84560-00-9","floral jasmin magnolia tea fruity"
"2035-93-0","floral green hyacinth lilac muguet"
"32540-03-7","floral lily of the valley"
"3054-92-0","fruity"
"764-39-6","pungent green apple orange tomato"
"1838-88-6","pear melon banana fruity"
"20273-24-9","green"
"68480-04-6","oily woody spicy powdery sandal"
"1569-50-2","green vinyl"
"137085-37-1","raspberry"
"67739-11-1","woody autumn sweet sandalwood sawdust"
"68227-51-0","fruity nutty caramellic maple"
"52475-89-5","aldehydic orange ozonic fruity clean outdoors"
"51608-18-5","lactonic coconut creamy peach apricot coumarinic"
"68258-95-7","fatty green citrus"
"512-61-8","woody"
"1727-68-0","sweet woody ionone"
"6261-18-3","mushroom fungal"
"20073-13-6","floral jasmin"
"648434-55-3","mild green fruity apple"
"94089-21-1","mild green fruity apple"
"32764-98-0","oily fruity coconut floral petal absolute jasmin tuberose peach apricot"
"7785-63-9","floral fruity"
"10138-63-3","very mild bland sweet rose"
"4346-18-3","sweet floral"
"2568-06-1","fresh herbal reseda green rose"
"125109-84-4","ozone, stemmy-green floral, melon"
"16423-19-1","earthy soil humus dirt"
"10297-72-0","sweet fruity"
"142-75-6","bland fatty"
"1320-67-8","odorless"
"53163-97-6","nutty roasted"
"2882-21-5","roasted hazelnut almond peanut"
"65504-94-1","nutty hazelnut nut skin almond earthy brown pineapple"
"36731-41-6","nutty roasted coffee hazelnut cocoa roasted barley"
"1113-60-6","sour radish cabbage"
"41414-75-9","woody sandalwood powdery"
"25246-27-9","woody"
"38205-55-9","roasted nutty sulfurous"
"94021-42-8","roasted nutty"
"39924-52-2","jasmin flower oily green petal soft greasy"
"16957-70-3","fruity strawberry woody"
"74758-91-1","pineapple"
"2432-77-1","fruity ethereal green tropical cabbage cheesy rancid floral green"
"84434-20-8","earthy green floral"
"77-70-3","caramel nutty"
"60415-61-4","fruity sweet banana apricot herbal cashew"
"2445-69-4","fruity ethereal tropical banana"
"90201-28-8","metallic fruity"
"94089-01-7","fruity"
"16630-60-7","fruity pineapple mushroom cheesy"
"20286-45-7","fruity green herbal citrus musty"
"94021-78-0","green unripe fruit metallic"
"87-55-8","creamy caramellic buttery maple"
"2438-20-2","sweet fruity ethereal rum"
"6293-37-4","winey pear grape"
"94134-03-9","pear fruity melon green cortex melon rind honeydew cantaloupe artichoke"
"84434-65-1","fruity green vegetable, green, juicy, fruity apple and pear , waxy, tropical with citrus nuances"
"51115-63-0","herbal woody orchid floral green balsamic, herbal"
"22717-57-3","minty fruity cherry leathery"
"170678-49-6","fruity green ethereal"
"39556-41-7","fruity green ethereal"
"1540-29-0","fruity winey"
"2482-39-5","mushroom"
"55764-31-3","vegetable"
"61114-24-7","fruity spicy clove"
"10348-47-7","fresh blackberry"
"23747-45-7","sharp ripe cheese sulfury acrid fermented tomato mushroom, sharp ripe cheesy, sulfurous, acrid fermented with tomato, mushroom and potato vegetative notes and dairy cheesy nuances"
"25415-67-2","fruity"
"7361-80-0","bland"
"58625-96-0","sweet jammy berry rum"
"526-83-0","odorless"
"14252-42-7","burnt rubbery alliaceous"
"188570-78-7","fresh flower shop green natural green tropical fruit"
"72845-40-0","damp forest soil fungus mushroom anise flowery leaf buds"
"68391-39-9","fruity"
"52514-66-6","sweet creamy vanilla smoky"
"4359-54-0","sweet"
"13211-15-9","camphor"
"19894-97-4","woody pine balsam sweet mint medical"
"1117-52-8","flower ether"
"1900-69-2","woody"
"20298-72-0","woody, iris-like, fresh, flowery, slightly camphor-like"
"53833-32-2","roasted burnt"
"110516-60-4","caramel"
"27538-10-9","sweet caramel candy butterscotch"
"17990-16-8","woody amber"
"60362-71-2","woody, camphoreous odor and is quite similar to patchouli alcohol"
"94087-23-7","floral green milky privet cortex woody"
"198404-98-7","tropical woody fatty sandalwood herbal cologne floral"
"42474-44-2","strong sulfurous onion"
"4032-80-8","burnt sugar"
"20333-39-5","sulfurous truffle"
"28060-90-4","mild acetic"
"9004-58-4","odorless"
"80455-45-4","odorless"
"15149-10-7","floral jasmin animal"
"74758-93-3","sulfurous musty onion fruity tropical metallic vegetable, sulfureous, musty, onion, savory, fruity and tropical with vegetative nuances"
"84060-80-0","green floral herbal apple pear"
"72779-06-7","warm herbal green chervil"
"2253-73-8","pungent mustard"
"4124-63-4","cabbage"
"26946-66-7","sweet fruity minty green musty"
"25679-28-1","anise"
"5888-51-7","musty earthy"
"1565-76-0","minty"
